JNAME,P0,DM
J1721-0855,2.181327,46.90
J1721-1936,1.004037,75.70
J1721-1939,0.404040,103.00
J1721-2457,0.003497,48.23
J1721-3532,0.280424,496.82
J1722+35,0.821600,23.83
J1722-3207,0.477158,126.09
J1722-3632,0.399187,415.79
J1722-3712,0.236180,99.44
J1722-4400,0.218554,219.30
J1723-2837,0.001856,19.69
J1723-2852,0.625034,172.00
J1723-3659,0.202725,254.58
J1723-38,0.765796,472.00
J1723-380,0.150924,266.00
J1723-40,1.982265,347.00
J1724-3149,0.948237,400.80
J1724-35,1.421990,555.00
J1724-3505,1.221708,875.00
J1724-4500,1.309109,182.00
J1725-0732,0.239919,58.72
J1725-2852,1.257788,161.00
J1725-3546,1.032471,738.30
J1725-38,0.392641,306.30
J1725-3848,2.062386,230.00
J1725-3853,0.004792,158.20
J1725-4043,1.465071,203.00
J1726-00,1.308600,57.00
J1726-31,0.123470,264.40
J1726-3530,1.110132,718.00
J1726-3635,0.287432,539.20
J1726-4006,0.882778,277.00
J1726-52,0.631800,119.70
J1727-1609,0.002450,
J1727-2739,1.293100,146.00
J1727-29,,93.00
J1727-2946,0.027083,60.73
J1727-2951,0.028405,215.10
J1728-0007,0.386004,41.09
J1728-36,0.354310,408.00
J1728-3733,0.615538,281.50
J1728-4028,0.866343,231.00
J1729-2117,0.066293,34.22
J1730+13,1.150000,32.00
J1730-2304,0.008123,9.63
J1730-2900,1.538427,289.00
J1730-3350,0.139506,261.29
J1730-3353,3.270242,256.00
J1730-34,0.099830,628.00
J1731-1847,0.002345,106.47
J1731-3123,0.753048,354.50
J1731-33,0.606900,571.00
J1731-3322,0.544671,877.40
J1731-4744,0.829946,123.06
J1732-1930,0.483770,72.43
J1732-3131,0.196543,15.40
J1732-3426,0.332887,513.50
J1732-35,0.126690,340.00
J1732-3729,2.184001,317.00
J1732-4128,0.627981,195.30
J1732-4156,0.323434,228.70
J1732-5049,0.005313,56.82
J1733-01,0.302000,61.98
J1733-2228,0.871683,41.14
J1733-2533,0.659794,242.00
J1733-2837,0.768185,225.00
J1733-3030,0.362052,636.00
J1733-3322,1.245915,524.00
J1733-3716,0.337600,153.33
J1733-4005,0.561781,317.58
J1733-5515,1.011234,83.90
J1734-0212,0.839394,65.05
J1734-2415,0.612524,126.30
J1734-2859,0.301456,313.90
J1734-3058,0.541286,260.00
J1734-3333,1.169341,578.00
J1735+6320,0.510718,41.85
J1735-0243,0.782887,54.90
J1735-0724,0.419335,73.51
J1735-25,0.118683,125.00
J1735-28,0.428560,279.00
J1735-3258,0.350972,758.00
J1735-33,1.273866,171.00
J1736+05,0.999245,42.00
J1736-0245_P,0.139298,44.30
J1736-2457,2.642223,169.40
J1736-2819,1.592419,261.00
J1736-2843,6.445036,331.00
J1736-3422,0.347222,
J1736-3511,0.502803,106.00
J1737-0314A,0.001980,82.10
J1737-0314B,0.008520,81.00
J1737-0314C,0.008460,80.00
J1737-0314D,0.002890,78.80
J1737-0314E,0.002280,80.40
J1737-0811,0.004175,55.31
J1737-3102,0.768672,280.00
J1737-3137,0.450432,488.10
J1737-32,0.634060,477.00
J1737-3320,0.816273,804.00
J1737-3555,0.397591,89.17
J1738+0333,0.005850,33.77
J1738+04,1.391790,23.60
J1738-0319_P,1.369302,85.00
J1738-2330,1.978847,96.60
J1738-2647,0.349591,182.20
J1738-2736,0.627716,323.60
J1738-2955,0.443425,223.40
J1738-3107,0.549498,721.70
J1738-3211,0.768500,49.52
J1738-33,0.357734,257.00
J1738-3316,0.730373,273.00
J1739+0612,0.234169,95.36
J1739-1313,1.215698,58.19
J1739-2521,1.818461,186.40
J1739-26,0.490142,354.00
J1739-2903,0.322889,138.67
J1739-3023,0.114372,170.50
J1739-3049,0.239317,573.00
J1739-31,0.277105,487.00
J1739-3131,0.529441,596.90
J1739-3159,0.877561,337.00
J1739-3951,0.341772,24.60
J1740+1000,0.154101,23.80
J1740+1311,0.803052,48.67
J1740+27,1.058200,35.46
J1740-2540,1.692656,333.00
J1740-3015,0.606887,151.90
J1740-3052,0.570313,738.80
J1740-3327,0.515001,274.10
J1740-5340A,0.003650,71.80
J1740-5340B,0.005787,72.20
J1741+1351,0.003747,24.20
J1741+2758,1.360738,29.14
J1741+3855,0.828861,47.22
J1741-0840,2.043085,75.25
J1741-2019,3.904506,74.90
J1741-2054,0.413700,4.70
J1741-21,2.565000,150.70
J1741-2152,2.565552,154.70
J1741-2719,0.346797,361.90
J1741-2733,0.892959,147.40
J1741-2945,0.223558,310.30
J1741-3016,1.893749,382.00
J1741-34,0.875137,241.00
J1741-3927,0.512212,158.31
J1742+20,0.252600,20.00
J1742-0203,0.131610,81.89
J1742-0237_P,0.003664,65.69
J1742-0559,0.918179,98.23
J1742-3321,0.143266,
J1742-3957,1.016349,220.00
J1742-4616,0.412401,115.78
J1743+05,1.473630,56.10
J1743-0339,0.444646,30.21
J1743-1351,0.405337,116.30
J1743-2442,1.242508,239.00
J1743-3150,2.414652,192.19
J1743-3153,0.193113,507.14
J1743-35,0.569980,174.00
J1743-4212,0.306168,132.14
J1744-1134,0.004075,3.14
J1744-1610,1.757206,66.67
J1744-2335,1.683507,96.66
J1744-2946,0.008392,673.70
J1744-3130,1.066076,193.31
J1744-3922,0.172444,148.10
J1744-5337,0.355666,109.70
J1744-7619,0.004688,
J1745+1017,0.002652,23.97
J1745+1252,1.059849,66.14
J1745+42,0.305100,38.00
J1745-0059,0.679516,68.63
J1745-0129,1.045407,89.30
J1745-0952,0.019376,64.50
J1745-2229,1.160593,299.00
J1745-23,0.005417,244.94
J1745-2758,0.487528,422.00
J1745-2900,3.763733,1778.00
J1745-2910,0.982000,1088.00
J1745-2912,0.187379,1110.00
J1745-3040,0.367438,88.37
J1745-3812,0.698353,163.60
J1746+2245,3.465038,49.85
J1746+2540,1.058148,51.20
J1746-0156,1.829047,92.94
J1746-2829,1.888929,1309.00
J1746-2849,1.478480,1456.00
J1746-2850,1.077101,962.70
J1746-2856,0.945224,1168.00
J1746-3239,0.199541,
J1747-1030,1.578793,128.00
J1747-2647,0.500254,570.00
J1747-2802,2.780079,835.00
J1747-2809,0.052153,1133.00
J1747-2958,0.098814,101.50
J1747-4036,0.001646,152.94
J1748-0224_P,0.001765,75.90
J1748-1300,0.394134,99.36
J1748-2021A,0.288603,219.40
J1748-2021B,0.016760,220.92
J1748-2021C,0.006227,226.95
J1748-2021D,0.013496,224.98
J1748-2021E,0.016264,224.10
J1748-2021F,0.003794,220.43
J1748-2444,0.442838,207.33
J1748-2446A,0.011563,242.36
J1748-2446C,0.008436,237.00
J1748-2446D,0.004714,243.62
J1748-2446E,0.002198,236.63
J1748-2446F,0.005540,239.07
J1748-2446G,0.021672,237.34
J1748-2446H,0.004926,237.97
J1748-2446I,0.009570,238.55
J1748-2446J,0.080338,234.21
J1748-2446K,0.002970,234.46
J1748-2446L,0.002245,237.50
J1748-2446M,0.003570,238.49
J1748-2446N,0.008667,238.29
J1748-2446O,0.001677,236.20
J1748-2446P,0.001729,238.79
J1748-2446Q,0.002812,234.24
J1748-2446R,0.005029,237.38
J1748-2446S,0.006117,236.22
J1748-2446T,0.007085,237.80
J1748-2446U,0.003289,235.47
J1748-2446V,0.002073,238.71
J1748-2446W,0.004205,238.92
J1748-2446X,0.002999,239.81
J1748-2446Y,0.002048,238.79
J1748-2446Z,0.002463,238.77
J1748-2446aa,0.005788,237.43
J1748-2446ab,0.005120,242.15
J1748-2446ac,0.005087,238.69
J1748-2446ad,0.001396,235.60
J1748-2446ae,0.003659,238.61
J1748-2446af,0.003304,237.35
J1748-2446ag,0.004448,237.28
J1748-2446ah,0.004965,237.70
J1748-2446ai,0.021228,234.02
J1748-2446aj,0.002959,238.63
J1748-2446ak,0.001890,236.71
J1748-2446al,0.005950,236.48
J1748-2446am,0.002934,238.19
J1748-2446an,0.004802,237.74
J1748-2446ao,0.002274,238.21
J1748-2446ap,0.003745,239.74
J1748-2446aq,0.012522,238.94
J1748-2446ar,0.001953,238.66
J1748-2446as,0.002326,238.21
J1748-2446at,0.002188,239.47
J1748-2446au,0.004548,238.08
J1748-2446av,0.001849,238.91
J1748-2446aw,0.013049,239.31
J1748-2446ax,0.001943,235.45
J1748-2815,0.100200,
J1748-30,0.382735,584.00
J1748-3009,0.009684,420.20
J1749+16,2.311650,59.60
J1749+5952,0.436041,45.07
J1749-2146,2.714556,260.00
J1749-2347,0.874486,344.00
J1749-2629,1.335388,409.00
J1749-3002,0.609874,509.40
J1749-4931,0.445822,55.30
J1749-5417,0.307577,69.00
J1749-5605,1.332310,58.00
J1750+07,1.908810,55.40
J1750-0043_P,0.571810,85.10
J1750-0112_P,0.008896,72.97
J1750-2043,5.639047,239.00
J1750-2438,0.712794,476.00
J1750-2444,0.899377,331.00
J1750-2536,0.034749,179.40
J1750-28,1.300513,388.00
J1750-3116A,0.005333,383.08
J1750-3157,0.910363,205.97
J1750-3503,0.684014,189.35
J1750-3703A,0.111601,233.82
J1750-3703B,0.006075,234.39
J1750-3703C,0.026569,230.67
J1750-3703D,0.005140,230.09
J1751-0542,2.001384,63.90
J1751-2516,0.394836,556.00
J1751-2737,0.002230,260.00
J1751-2857,0.003915,42.79
J1751-3323,0.548231,295.54
J1751-4657,0.742354,20.59
J1752+2359,0.409051,36.20
J1752-2410,0.191037,508.30
J1752-2806,0.562567,50.32
J1752-2821,0.640229,516.30
J1753-0006_P,0.263349,101.00
J1753-0217_P,1.039570,91.50
J1753-12,0.405454,73.00
J1753-1914,0.062955,105.30
J1753-2240,0.095138,158.60
J1753-2501,0.528336,672.00
J1753-28,0.085859,18.00
J1753-2819,0.018624,298.40
J1753-38,0.666804,167.60
J1754+0000_P,0.061132,104.71
J1754+0032,0.004411,70.28
J1754+48,0.652000,23.00
J1754+5201,2.391397,35.01
J1754-2422,2.090248,738.00
J1754-3014,1.320490,89.70
J1754-3443,0.361691,188.17
J1754-3510,0.392704,81.75
J1755-0903,0.190710,63.67
J1755-1650,0.733744,159.90
J1755-2025,0.322231,364.30
J1755-22,0.570687,273.00
J1755-2521,1.175968,252.00
J1755-25211,1.004513,835.00
J1755-2534,0.233541,590.00
J1755-2550,0.315196,750.90
J1755-26,0.430872,405.00
J1755-2725,0.261955,115.10
J1755-33,0.959466,266.50
J1755-3716,0.012786,167.57
J1756+1822,0.744001,70.80
J1756-2225,0.404980,329.00
J1756-2251,0.028462,121.23
J1756-2435,0.670480,367.10
J1756-25,0.487890,190.00
J1756-251,0.487890,190.00
J1756-2619,0.724514,534.00
J1757-1500,0.179354,150.00
J1757-16,0.451273,132.20
J1757-1854,0.021497,378.21
J1757-2223,0.185310,239.30
J1757-2421,0.234109,179.58
J1757-26,0.354459,502.00
J1757-2745,0.017687,334.00
J1757-5322,0.008870,30.80
J1757-6032,0.002912,62.92
J1758+3030,0.947256,35.07
J1758-1931,0.692552,207.00
J1758-2206,0.430278,678.00
J1758-24,0.633105,652.00
J1758-25,0.605502,415.00
J1758-2540,2.107263,218.20
J1758-2630,1.202893,328.00
J1758-2846,0.766706,66.60
J1759+5036,0.176016,7.78
J1759-1029,2.512263,115.40
J1759-1736,0.798452,206.00
J1759-1903,0.731505,467.00
J1759-1940,0.254720,302.70
J1759-1956,2.843389,236.40
J1759-2205,0.460983,176.96
J1759-2302,0.810718,889.00
J1759-2307,0.558889,812.60
J1759-24,1.457739,772.00
J1759-2549,0.956549,424.00
J1759-2922,0.574400,79.42
J1759-3107,1.078956,128.87
J1759-5505,0.373392,63.00
J1800+5034,0.578375,22.71
J1800-0059,1.192544,84.20
J1800-0125,0.783185,51.00
J1800-2114,1.799272,641.00
J1800-2343,1.030820,280.00
J1801-0108_P,1.072109,86.30
J1801-0144_P,0.003033,60.02
J1801-0357,0.921493,120.33
J1801-0857A,0.007176,182.66
J1801-0857B,0.028962,182.40
J1801-0857C,0.003739,182.36
J1801-0857D,0.004227,174.54
J1801-0857E,0.007602,183.18
J1801-0857F,0.024892,183.78
J1801-0857G,0.051591,185.06
J1801-0857H,0.005643,179.63
J1801-0857I,0.003254,177.88
J1801-0857K,0.009590,182.38
J1801-0857L,0.006057,185.74
J1801-0857M,0.005357,183.18
J1801-0857N,0.004995,182.64
J1801-0857O,0.004287,182.49
J1801-1417,0.003625,57.25
J1801-1855,2.550498,484.00
J1801-1909,1.108725,264.00
J1801-2115,0.438113,778.80
J1801-2154,0.375302,386.00
J1801-2304,0.415827,1067.85
J1801-2451,0.124924,291.55
J1801-2920,1.081911,125.38
J1801-3210,0.007454,177.73
J1801-3458,1.385604,146.00
J1802+0128,0.554262,97.97
J1802+03,0.664300,77.00
J1802-0523,1.680573,121.00
J1802-1745,0.514671,264.20
J1802-2124,0.012648,149.59
J1802-2426,0.569007,711.00
J1802-3346,2.461052,217.00
J1803+1358,0.001520,
J1803+47,0.346900,29.50
J1803-1616,0.536596,388.00
J1803-1857,2.864338,392.00
J1803-1920,0.443649,436.10
J1803-2137,0.133667,234.04
J1803-2149,0.106334,
J1803-2712,0.334415,165.50
J1803-3002A,0.007101,192.62
J1803-3002B,0.004397,192.60
J1803-3002C,0.005840,194.50
J1803-3002D,0.005530,192.73
J1803-3002E,0.017926,192.79
J1803-3002F,0.148136,195.80
J1803-3329,0.633412,170.90
J1803-4719,0.003669,41.64
J1803-6707,0.002135,38.38
J1804-0046_P,0.635152,86.80
J1804-0735,0.023101,186.32
J1804-17,0.280781,549.00
J1804-2228,0.570511,424.00
J1804-2717,0.009343,24.67
J1804-28,1.273011,213.00
J1804-2858,0.001493,232.53
J1805+0306,0.218712,80.86
J1805+0615,0.002129,64.88
J1805-0619,0.454651,145.91
J1805-1504,1.181269,225.00
J1805-2032,0.405769,932.00
J1805-2037,0.357807,708.10
J1805-2447,0.661402,269.00
J1805-2948,0.428341,167.90
J1806+1023,0.484286,52.03
J1806+2819,0.015084,18.68
J1806-1154,0.522620,122.23
J1806-1618,0.668309,319.00
J1806-1920,0.879791,683.00
J1806-2125,0.481825,747.00
J1806-21250,0.172004,555.00
J1806-2133,0.328558,989.00
J1807+04,0.798900,53.00
J1807+0756,0.464300,89.29
J1807-0847,0.163727,112.38
J1807-2459A,0.003059,134.00
J1807-2459B,0.004186,137.15
J1807-2557,2.764195,385.00
J1807-2715,0.827786,312.50
J1808+00,0.425115,149.20
J1808-0813,0.876045,150.86
J1808-1020,0.596993,225.30
J1808-14,0.836422,307.00
J1808-1517,0.544550,206.97
J1808-1726,0.241035,536.00
J1808-19,0.101666,969.00
J1808-2024,7.555920,
J1808-2057,0.918410,606.80
J1808-2701,2.457882,95.00
J1808-3249,0.364917,147.29
J1809+17,2.066700,47.32
J1809-0116_P,1.887380,128.50
J1809-0119,0.744976,138.30
J1809-0743,0.313886,240.70
J1809-1429,0.895289,409.28
J1809-1850,1.124481,598.00
J1809-1917,0.082764,197.30
J1809-1943,5.540743,178.00
J1809-20,0.057256,528.00
J1809-2004,0.434811,867.10
J1809-2109,0.702417,381.62
J1809-2332,0.146789,
J1809-3547,0.860388,193.84
J1810+0705,0.307683,79.42
J1810+1744,0.001663,39.66
J1810-0100_P,1.106160,78.10
J1810-1441,0.217214,304.90
J1810-1709,1.161133,670.00
J1810-1820,0.153716,452.00
J1810-2005,0.032822,240.72
J1810-5338,0.261050,45.00
J1811+0702,0.461713,57.80
J1811-0154,0.924946,147.79
J1811-0624,0.004146,158.83
J1811-1049,2.623859,253.30
J1811-1717,0.391385,545.50
J1811-1736,0.104182,473.93
J1811-1835,0.557464,761.00
J1811-1925,0.064667,
J1811-2405,0.002661,60.62
J1811-2439,0.415813,167.20
J1811-4930,1.432705,44.57
J1812+0226,0.793903,104.14
J1812-12,1.439967,278.00
J1812-15,1.014529,431.00
J1812-17,2.182018,418.70
J1812-1718,1.205374,251.40
J1812-1733,0.538341,509.80
J1812-1910,0.430991,892.00
J1812-20,1.903112,457.00
J1812-2102,1.223352,547.20
J1812-2526,0.315835,361.40
J1812-2748,0.236983,104.00
J1812-3039,0.587477,141.40
J1813+1822,0.336425,60.80
J1813+4013,0.931089,41.56
J1813-0402,0.004107,71.35
J1813-1246,0.048072,
J1813-14,1.035407,427.00
J1813-17,0.367591,692.00
J1813-1749,0.044741,1087.00
J1813-2113,0.426468,459.08
J1813-2242,0.328514,333.00
J1813-2621,0.004430,122.49
J1814+0045_P,0.002310,124.00
J1814+1130,0.751261,65.00
J1814+22,0.253700,62.31
J1814+31,0.002090,
J1814-0521,1.014219,130.60
J1814-0618,1.377868,168.00
J1814-1649,0.957464,782.00
J1814-1744,3.975905,820.00
J1814-1845,1.089989,534.00
J1815+5546,0.426844,59.00
J1815-1738,0.198457,724.60
J1815-1910,1.249924,547.80
J1816+0216_P,0.004040,124.70
J1816+4510,0.003193,38.89
J1816-0021_P,0.041650,89.30
J1816-0038_P,0.030650,125.20
J1816-0755,0.217643,117.90
J1816-1446,0.594500,629.00
J1816-1729,0.782320,523.00
J1816-2650,0.592885,128.12
J1816-5643,0.217923,52.40
J1817-0012_P,0.654430,72.70
J1817-0743,0.438095,14.80
J1817-1511,0.224604,970.00
J1817-1742,0.149744,
J1817-19,1.229085,191.00
J1817-1938,2.046838,519.60
J1817-2311,0.625470,240.00
J1817-3618,0.387019,94.20
J1817-3837,0.384487,102.73
J1818-0051_P,2.206690,66.80
J1818-0151,0.837535,209.00
J1818-1116,0.544800,422.00
J1818-1422,0.291489,619.65
J1818-1448,0.281371,644.00
J1818-1502,0.572549,435.00
J1818-1519,0.939690,845.00
J1818-1541,0.551134,690.00
J1818-1556,0.952709,230.00
J1818-1607,1.363492,699.20
J1819+0322,0.799166,98.67
J1819+1305,1.060364,64.81
J1819-0040_P,0.160070,57.90
J1819-0050_P,0.006600,103.30
J1819-0925,0.852049,379.62
J1819-1008,0.301490,404.00
J1819-1114,0.294163,309.70
J1819-1131,1.388137,578.00
J1819-1318,1.515696,35.10
J1819-1408,1.788490,1075.00
J1819-1458,4.263213,196.00
J1819-1510,0.226539,418.14
J1819-17,2.352135,67.00
J1819-1717,0.393522,405.00
J1819-37,0.632000,68.20
J1820+0006_P,2.404950,187.90
J1820+0058_P,0.033620,86.10
J1820-0427,0.598083,84.47
J1820-0509,0.337321,102.11
J1820-1346,0.921460,771.00
J1820-1529,0.333254,768.50
J1820-1818,0.309905,436.38
J1820-19,0.004491,142.00
J1820-20,0.002700,274.00
J1821+0007_P,0.004220,55.20
J1821+0017_P,0.007560,192.00
J1821+0044_P,0.002710,126.90
J1821+0155,0.033781,51.75
J1821+1715,1.366682,60.28
J1821+4147,1.261857,40.67
J1821-0013_P,2.217590,112.10
J1821-0031_P,4.440880,111.10
J1821-0256,0.414111,84.00
J1821-0331,0.902316,171.50
J1821-1419,1.656010,1123.00
J1821-1432,1.915131,570.00
J1822+0044_P,0.998890,54.00
J1822+02,1.508000,103.80
J1822+0207_P,0.009900,145.30
J1822+0705,1.362817,62.20
J1822+1120,1.787037,95.20
J1822+2617,0.591418,64.70
J1822-0719,0.499076,199.00
J1822-0848,0.834839,186.30
J1822-0902,0.148895,448.10
J1822-0907,0.974700,467.00
J1822-1252,2.071040,925.00
J1822-1400,0.214771,649.27
J1822-1604,8.437721,
J1822-1617,0.831156,647.00
J1822-2256,1.874269,121.20
J1822-4209,0.456512,72.51
J1823+0048_P,0.917950,71.70
J1823+0550,0.752907,66.78
J1823-0154,0.759778,135.79
J1823-11,0.286184,725.00
J1823-1115,0.279829,428.59
J1823-1126,1.846534,607.00
J1823-1347,0.617107,1044.00
J1823-1526,1.625405,611.00
J1823-1807,1.636792,330.00
J1823-3021A,0.005440,86.88
J1823-3021B,0.378596,87.01
J1823-3021C,0.405936,86.90
J1823-3021D,0.003020,86.80
J1823-3021E,0.004394,91.40
J1823-3021F,0.004850,86.70
J1823-3021G,0.006091,86.21
J1823-3021H,0.005130,86.85
J1823-3106,0.284057,50.29
J1823-3543,0.002373,81.69
J1824+1014,0.004066,59.88
J1824-0117_P,1.374450,200.30
J1824-0127,2.499470,63.00
J1824-0132,0.223729,79.00
J1824-0621,0.003233,131.03
J1824-1118,0.435759,601.31
J1824-1159,0.362492,462.96
J1824-1350,1.396599,551.00
J1824-1423,0.359394,427.63
J1824-1500,0.412230,571.00
J1824-1945,0.189337,224.26
J1824-2233,1.161743,156.50
J1824-2328,1.505875,195.40
J1824-2452A,0.003054,119.91
J1824-2452B,0.006547,119.50
J1824-2452C,0.004159,120.70
J1824-2452D,0.079832,119.50
J1824-2452E,0.005420,119.80
J1824-2452F,0.002451,123.80
J1824-2452G,0.005909,119.40
J1824-2452H,0.004629,121.50
J1824-2452I,0.003932,119.00
J1824-2452J,0.004039,119.20
J1824-2452K,0.004461,119.80
J1824-2452L,0.004100,119.00
J1824-2452M,0.004784,119.35
J1824-2452N,0.003353,119.32
J1824-2537,0.223320,158.50
J1825+0004,0.778950,56.62
J1825+0057_P,0.006020,128.90
J1825-0208_P,3.307350,192.90
J1825-0254_P,0.096720,146.50
J1825-0319,0.004554,119.56
J1825-0935,0.769021,19.38
J1825-1108,1.925872,121.00
J1825-1446,0.279206,352.23
J1825-31,2.382000,93.30
J1825-33,1.271200,43.00
J1826-0049,0.004591,42.67
J1826-0132_P,0.363250,103.80
J1826-1131,2.093141,319.40
J1826-1256,0.110239,
J1826-1334,0.101487,231.73
J1826-1419,0.770620,160.00
J1826-1526,0.382073,530.00
J1826-2415,0.004696,81.86
J1827-0125_P,0.337960,98.00
J1827-0216_P,0.285480,186.60
J1827-0750,0.270503,374.99
J1827-0849,0.002242,
J1827-0934,0.512548,259.20
J1827-0958,0.245757,430.00
J1827-1446,0.499187,
J1828+0020_P,0.002940,40.40
J1828+0157_P,1.903970,32.10
J1828+0218_P,0.002970,140.80
J1828+0625,0.003628,22.42
J1828+1221,1.528295,69.10
J1828+1359,0.741640,56.00
J1828-0003,3.807116,193.00
J1828-0038_P,2.426000,70.00
J1828-0611,0.269416,363.35
J1828-1007,0.153197,302.60
J1828-1057,0.246333,249.00
J1828-1101,0.072062,605.40
J1828-1336,0.860332,494.70
J1828-2119,0.514523,268.00
J1829+0000,0.199147,116.80
J1829+2456,0.041010,13.70
J1829+25,2.857000,74.00
J1829-0116_P,1.653200,189.90
J1829-0235_P,0.007430,103.30
J1829-0734,0.318404,317.64
J1829-1011,0.829166,610.00
J1829-1751,0.307138,216.83
J1830-0052,0.345698,220.40
J1830-0106_P,0.001760,149.40
J1830-0131,0.457539,97.77
J1830-0156_P,0.007520,242.30
J1830-0206_P,1.055340,221.90
J1830-0231_P,,150.70
J1830-09,0.695490,309.00
J1830-10,0.245260,203.00
J1830-1059,0.405094,159.70
J1830-1135,6.221553,257.00
J1830-1313,0.747188,537.00
J1830-14,0.399848,297.00
J1830-1414,0.771493,393.60
J1831+0101_P,0.182280,173.00
J1831+0204_P,0.002080,115.20
J1831+0222_P,2.315140,160.00
J1831+0304_P,0.837120,158.90
J1831-04,1.065578,216.00
J1831-0823,0.612133,246.27
J1831-0941,0.300872,370.10
J1831-0952,0.067267,247.00
J1831-1223,2.857941,342.00
J1831-1329,2.165679,338.00
J1831-1423,0.507945,352.00
J1832+0029,0.533918,32.70
J1832+0113_P,0.006340,81.80
J1832+0204_P,1.212790,226.40
J1832+27,0.631800,48.00
J1832-0644,0.744321,573.04
J1832-0827,0.647326,301.19
J1832-0836,0.002719,28.19
J1832-1021,0.330354,474.14
J1832-28,0.199300,127.00
J1833+0050_P,0.903700,190.90
J1833-0046_P,0.002950,81.40
J1833-0204_P,0.004430,312.10
J1833-0209,0.291931,325.40
J1833-0338,0.686739,234.37
J1833-05,0.744883,380.00
J1833-0556,1.521545,461.00
J1833-0559,0.483459,346.70
J1833-0827,0.085291,409.75
J1833-0831,7.565408,
J1833-1034,0.061884,169.50
J1833-1055,0.633640,543.00
J1833-3840,0.001866,78.66
J1833-6023,1.889436,35.00
J1834+0143_P,0.004640,201.80
J1834+0148_P,0.161980,179.40
J1834+0248_P,0.375560,86.50
J1834+10,1.172719,78.48
J1834-0010,0.520954,88.65
J1834-0031,0.329532,155.10
J1834-0426,0.290108,79.31
J1834-0602,0.487914,445.00
J1834-0633,0.317315,707.00
J1834-0731,0.512995,288.30
J1834-0742,0.788374,536.70
J1834-0812,0.491142,1020.00
J1834-0845,2.482302,
J1834-09,0.512327,529.00
J1834-1202,0.610259,342.90
J1834-1710,0.358306,123.80
J1834-1855,1.465656,185.20
J1835+0005_P,0.026540,116.30
J1835+0114_P,2.199760,229.70
J1835+0158_P,0.003320,181.50
J1835+0301_P,2.298890,212.30
J1835-0011_P,0.003230,36.20
J1835-0113_P,0.599630,316.70
J1835-0114,0.005116,98.25
J1835-0149_P,1.277610,102.30
J1835-0349,0.841865,269.60
J1835-0522,1.087749,456.00
J1835-0600,2.221787,780.00
J1835-0643,0.305830,464.80
J1835-0847,0.846494,850.00
J1835-09,0.750462,555.00
J1835-0924,0.859192,471.00
J1835-09242,0.235249,500.00
J1835-0928,0.621734,450.00
J1835-0944,0.145347,276.20
J1835-0946,0.379536,193.30
J1835-1020,0.302452,115.66
J1835-1106,0.165918,132.68
J1835-1548,0.670486,327.00
J1835-3259A,0.003889,63.35
J1835-3259B,0.001830,63.51
J1836+0014_P,0.530460,121.10
J1836+0015_P,0.629520,219.80
J1836+0117_P,0.003810,178.00
J1836+0352_P,0.449100,185.10
J1836+0915,0.541178,36.37
J1836+51,0.692000,44.40
J1836+5925,0.173264,
J1836-0011_P,0.939600,237.50
J1836-0100_P,0.258520,326.50
J1836-0150_P,0.005460,199.40
J1836-0436,0.354238,231.45
J1836-0517,0.457245,564.00
J1836-1008,0.562721,315.94
J1836-11,0.496193,326.00
J1836-1324,0.178756,157.33
J1836-2354A,0.003354,89.11
J1836-2354B,0.003232,93.30
J1837+0033,0.418131,187.40
J1837+0053,0.473513,124.00
J1837+0250_P,0.094660,101.00
J1837+03,0.010700,115.70
J1837+0420_P,1.009490,181.40
J1837+0528_P,0.006260,120.80
J1837+10,1.707000,54.00
J1837+1221,1.963536,100.24
J1837-0045,0.617038,86.73
J1837-0048_P,0.002730,195.50
J1837-0219,0.272349,306.33
J1837-0559,0.201065,317.98
J1837-0604,0.096313,460.00
J1837-0653,1.905809,315.41
J1837-0822,1.099196,506.00
J1837-10,1.016605,493.00
J1837-1243,1.876019,300.00
J1837-1837,0.618361,100.96
J1838+0022_P,0.005090,122.60
J1838+0024,0.005087,122.63
J1838+0027_P,0.054130,205.90
J1838+0028_P,0.001870,107.20
J1838+0044_P,2.203170,229.60
J1838+0226_P,2.122580,252.90
J1838+0228_P,0.653160,148.10
J1838+1507_P,0.003820,54.80
J1838+1523,0.549161,68.26
J1838+1650,1.901967,32.95
J1838+50,2.577223,21.81
J1838-0014_P,0.360450,282.80
J1838-01,0.183295,320.40
J1838-0107,0.444426,268.90
J1838-0156_P,0.005510,163.40
J1838-0453,0.380866,617.20
J1838-0537,0.145754,
J1838-0549,0.235311,276.60
J1838-0624,0.927178,424.00
J1838-0655,0.070498,
J1838-1046,1.218354,209.30
J1838-1849,0.488242,169.90
J1839+0050_P,0.633310,179.30
J1839+0100_P,0.005370,130.10
J1839+0221_P,0.272770,117.30
J1839+0543,0.057928,113.83
J1839-0141,0.933266,293.20
J1839-0223,1.266790,330.00
J1839-0321,0.238782,450.50
J1839-0332,2.675682,195.10
J1839-0402,0.520940,236.60
J1839-0436,0.149461,292.70
J1839-0459,0.585319,237.00
J1839-0627,0.484914,92.49
J1839-0643,0.449548,493.50
J1839-0905,0.418975,344.50
J1839-1238,1.911431,173.85
J1840+0012_P,0.005339,100.84
J1840+0151_P,1.750410,73.60
J1840+0214,0.797478,182.40
J1840+0351_P,0.005160,201.00
J1840+2843,0.686102,63.70
J1840+5640,1.652862,26.77
J1840-0049_P,0.006760,245.90
