
index,JNAME,P0,P1,F0,F1,DM,
125,J0206-4028,0.630551,1.20e-15,1.585914,-3.008e-15,13.00,
126,J0209+4331,0.863883,5.72e-17,1.157565,-7.660e-17,57.29,
127,J0209+5759,1.063906,1.39e-14,0.939932,-1.230e-14,55.28,
128,J0210+5845,1.766219,1.52e-13,0.566181,-4.862e-14,76.79,
129,J0211+4235,0.350731,1.11e-18,2.851188,-9.000e-18,49.70,
130,J0211-8159,3.231999,7.14e-16,0.309406,-6.840e-17,24.36,
131,J0212+5222,0.376386,6.60e-15,2.656844,-4.658e-14,38.21,
132,J0212+5321,0.002115,,472.880314,,25.70,
133,J0214+5222,0.024575,2.96e-19,40.691272,-4.900e-16,22.04,
134,J0215+6218,0.548880,6.62e-16,1.821892,-2.198e-15,84.00,
135,J0218+4232,0.002323,7.74e-20,430.461055,-1.434e-14,61.25,
136,J0220+3626,1.029700,,0.971157,,40.00,
137,J0227+3356,1.240102,2.85e-15,0.806385,-1.854e-15,27.00,
138,J0229+20,0.806900,,1.239311,,27.00,
139,J0231+7026,1.466820,3.11e-15,0.681747,-1.445e-15,46.68,
140,J0241+16,1.545400,,0.647082,,20.40,
141,J0242+62,0.592000,,1.689189,,3.92,
142,J0243+6027,1.473000,,0.678887,,141.00,
143,J0244+14,2.128100,,0.469903,,31.00,
144,J0248+4230,0.002601,1.69e-20,384.491935,-2.494e-15,48.26,
145,J0248+6021,0.217094,5.51e-14,4.606300,-1.169e-12,370.00,
146,J0250+5854,23.535378,2.72e-14,0.042489,-4.903e-17,45.28,
147,J0251+2606,0.002542,7.57e-21,393.460010,-1.172e-15,20.22,
148,J0255-5304,0.447708,3.13e-17,2.233596,-1.561e-16,17.97,
149,J0301+35,0.568040,,1.760439,,57.43,
150,J0302+2252,1.207165,8.25e-17,0.828387,-5.661e-17,18.99,
151,J0304+1932,1.387584,1.30e-15,0.720677,-6.727e-16,15.66,
152,J0305+11,0.862100,,1.159958,,27.97,
153,J0307+7443,0.003156,1.73e-20,316.847877,-1.733e-15,6.34,
154,J0311+1402,40.910697,,0.024443,,19.90,
155,J0312-0921,0.003704,1.97e-20,269.953947,-1.437e-15,20.50,
156,J0317+13,1.974300,,0.506509,,12.90,
157,J0318+0253,0.005190,1.76e-20,192.683716,-6.540e-16,25.98,
158,J0323+3944,3.032072,6.36e-16,0.329807,-6.914e-17,26.19,
159,J0324+5239,0.336620,3.81e-16,2.970707,-3.362e-15,115.46,
160,J0325+6744,1.364679,1.55e-15,0.732773,-8.340e-16,65.28,
161,J0329+1654,0.893320,2.15e-16,1.119420,-2.697e-16,40.82,
162,J0332+5434,0.714520,2.05e-15,1.399542,-4.012e-15,26.76,
